rank_2023_2024,rank_5yr,trend_symbol,trend,school_name,city,overall_rating_2023_2024,overall_rating_5yr 
1,1,—,no_change,Corpus Christi,Vancouver,10.0,10.0
1,1,—,no_change,Crofton House,Vancouver,10.0,10.0
1,1,—,no_change,Our Lady of Mercy,Burnaby,10.0,10.0
1,1,—,no_change,Southpointe Academy,Delta,10.0,10.0
1,1,—,no_change,St George's,Vancouver,10.0,10.0
1,1,—,no_change,St Jude's,Vancouver,10.0,10.0
1,1,q,down,St Michaels,Burnaby,10.0,10.0
1,1,—,no_change,Vancouver College,Vancouver,10.0,10.0
1,1,—,no_change,York House,Vancouver,10.0,10.0
1,10,—,no_change,St Micheals University,Victoria,10.0,10.0
1,11,—,no_change,Southridge,Surrey,10.0,9.9
1,13,,n/a,Westcot,West Vancouver,10.0,9.9
1,14,p,up,Diamond/Crescent Heights,Surrey,10.0,9.9
1,14,—,no_change,Holy Cross,Burnaby,10.0,9.9
1,17,—,no_change,Khalsa Old Yale Road,Surrey,10.0,9.8
1,18,—,no_change,Khalsa Newton,Surrey,10.0,9.8
1,19,—,no_change,Cornerstone Christian Academy,Richmond,10.0,9.7
1,23,—,no_change,Mulgrave,West Vancouver,10.0,9.6
1,37,—,no_change,Urban Academy Junior,New Westminster,10.0,9.2
1,38,p,up,Timothy Christian,Chilliwack,10.0,9.2
1,47,p,up,John Knox Christian,Burnaby,10.0,9.1
1,64,—,no_change,Immaculate Conception,Vancouver,10.0,8.8
1,104,—,no_change,Queen of All Saints,Coquitlam,10.0,7.9
1,n/a,n/a,n/a,Fraser Valley/Crescent Heights,Surrey,10.0,n/a
1,n/a,n/a,n/a,Nelson Waldorf,Nelson,10.0,n/a
1,n/a,n/a,n/a,Westside Montessori Academy,Vancouver,10.0,n/a
27,21,—,no_change,Ecole Cedardale,West Vancouver,9.8,9.7
27,22,—,no_change,Collingwood,West Vancouver,9.8,9.7
27,35,—,no_change,Delta Christian,Delta,9.8,9.3
27,70,—,no_change,St Edmund's,North Vancouver,9.8,8.7
31,11,—,no_change,West Point Grey Academy,Vancouver,9.7,9.9
31,16,—,no_change,Selkirk Montessori,Victoria,9.7,9.9
31,40,—,no_change,St Augustine's,Vancouver,9.7,9.2
31,44,—,no_change,St Joseph the Worker,Richmond,9.7,9.1
31,46,p,up,St Catherines,Langley,9.7,9.1
36,26,—,no_change,Vancouver Christian,Vancouver,9.6,9.5
36,32,—,no_change,Stratford Hall,Vancouver,9.6,9.3
36,34,—,no_change,St Anthony of Padua,Vancouver,9.6,9.3
36,53,—,no_change,White Rock Christian Academy,Surrey,9.6,9.0
36,n/a,n/a,n/a,Cousteau L'Ecole Francaise Interna'le,North Vancouver,9.6,n/a
41,27,—,no_change,Ecole Pauline Johnson,West Vancouver,9.5,9.4
41,28,—,no_change,St Helen's,Burnaby,9.5,9.4
41,31,p,up,Our Lady of the Assumption,Port Coquitlam,9.5,9.3
41,33,—,no_change,Richmond Christian,Richmond,9.5,9.3
45,25,—,no_change,Meadowridge,Maple Ridge,9.4,9.6
45,29,—,no_change,St Francis of Assisi,Vancouver,9.4,9.3
45,67,p,up,St Bernadette,Surrey,9.4,8.7
45,86,—,no_change,Our Lady of Lourdes,West Kelowna,9.4,8.2
49,19,—,no_change,St Pius X,North Vancouver,9.3,9.7
49,30,—,no_change,Caulfeild,West Vancouver,9.3,9.3
49,41,—,no_change,Iqra,Surrey,9.3,9.1
49,49,—,no_change,St John's,Vancouver,9.3,9.0
49,52,—,no_change,Glenlyon Norfolk,Victoria,9.3,9.0
49,53,—,no_change,The Fernie Academy,Fernie,9.3,9.0
49,58,p,up,Our Lady of Fatima,Coquitlam,9.3,8.8
49,70,—,no_change,Archibald Blair,Richmond,9.3,8.7
49,n/a,n/a,n/a,St Margaret's,Victoria,9.3,n/a
58,42,—,no_change,West Bay,West Vancouver,9.2,9.1
58,43,—,no_change,St Mary's,Vancouver,9.2,9.1
58,57,—,no_change,St Francis de Sales,Burnaby,9.2,8.9
58,79,—,no_change,Jessie Wowk,Richmond,9.2,8.4
58,n/a,n/a,n/a,Whistler Waldorf,Whistler,9.2,n/a
63,39,—,no_change,St Anthony's,West Vancouver,9.1,9.2
63,60,—,no_change,Our Lady of Good Counsel,Surrey,9.1,8.8
63,66,,n/a,Brockton Preparatory,North Vancouver,9.1,8.7
63,82,—,no_change,Spul'u'kwuks,Richmond,9.1,8.3
67,23,q,down,Our Lady of Sorrows,Vancouver,9.0,9.6
67,44,—,no_change,St Paul,Richmond,9.0,9.1
67,55,—,no_change,Star of the Sea,Surrey,9.0,8.9
67,74,—,no_change,Chartwell,West Vancouver,9.0,8.5
67,n/a,n/a,n/a,West-Mont,Victoria,9.0,n/a
72,48,—,no_change,Deer Lake SDA,Burnaby,8.9,9.0
72,50,—,no_change,Aspengrove,Lantzville,8.9,9.0
72,73,—,no_change,Aberdeen Hall Preparatory,Kelowna,8.9,8.6
75,35,—,no_change,St Francis Xavier,Vancouver,8.8,9.3
75,61,—,no_change,Our Lady of Perpetual Help,Vancouver,8.8,8.8
75,132,—,no_change,Annunciation,Prince Rupert,8.8,7.6
78,70,—,no_change,St Patrick's,Victoria,8.7,8.7
78,181,—,no_change,Greendale,Chilliwack,8.7,7.1
80,56,—,no_change,Lions Gate Christian Academy,North Vancouver,8.6,8.9
80,63,—,no_change,Az-Zahraa Islamic Academy,Richmond,8.6,8.8
80,65,—,no_change,Christ Church Cathedral,Victoria,8.6,8.7
80,80,—,no_change,Blessed Sacrament,Vancouver,8.6,8.3
80,87,—,no_change,Pacific Academy,Surrey,8.6,8.2
80,95,—,no_change,Traditional Learning Academy,Coquitlam,8.6,8.1
80,100,—,no_change,St James,Abbotsford,8.6,8.1
80,104,p,up,St Joseph's,Smithers,8.6,7.9
80,n/a,n/a,n/a,Pythagoras Academy,Richmond,8.6,n/a
89,69,—,no_change,Arrow Heights,Revelstoke,8.5,8.7
89,84,—,no_change,Kelowna Christian,Kelowna,8.5,8.2
89,89,—,no_change,Credo Christian s,Langley,8.5,8.2
89,102,p,up,St Mary's,Prince George,8.5,8.0
93,58,q,down,Gleneagles,West Vancouver,8.4,8.8
93,68,,n/a,Ridgeview,West Vancouver,8.4,8.7
93,77,—,no_change,Kootenay Christian Academy,Cranbrook,8.4,8.4
93,78,—,no_change,Holy Trinity,North Vancouver,8.4,8.4
93,91,—,no_change,Highlands,North Vancouver,8.4,8.2
93,119,—,no_change,Lord Kitchener,Vancouver,8.4,7.8
93,n/a,n/a,n/a,Pender Islands,Pender Island,8.4,n/a
93,n/a,n/a,n/a,Sir William Osler,Vancouver,8.4,n/a
101,81,—,no_change,British Columbia Christian Academy Port,Coquitlam,8.3,8.3
101,94,—,no_change,Vancouver Talmud Torah,Vancouver,8.3,8.1
101,97,—,no_change,Alex Hope,Langley,8.3,8.1
101,n/a,n/a,n/a,David Livingstone,Vancouver,8.3,n/a
101,n/a,n/a,n/a,Mount Cheam Christian,Chilliwack,8.3,n/a
106,75,—,no_change,G.A.D.,Surrey,8.2,8.5
106,75,—,no_change,St Ann's Academy,Kamloops,8.2,8.5
106,83,—,no_change,St Mary's,Chilliwack,8.2,8.3
106,85,—,no_change,Immaculate Conception,Delta,8.2,8.2
106,92,—,no_change,Cloverdale Catholic,Surrey,8.2,8.1
106,97,—,no_change,John T Errington,Richmond,8.2,8.1
106,108,—,no_change,Maria Montessori Academy,Victoria,8.2,7.9
106,124,—,no_change,Our Lady of Perpetual Help,Kamloops,8.2,7.7
106,134,p,up,Kerrisdale,Vancouver,8.2,7.6
106,162,—,no_change,St Michael's,Trail,8.2,7.3
106,205,—,no_change,Carnarvon,Vancouver,8.2,7.0
106,216,p,up,William Bridge,Richmond,8.2,6.9
106,n/a,n/a,n/a,Fort Rupert,Port Hardy,8.2,n/a
106,n/a,n/a,n/a,Hope Lutheran Christian,Port Coquitlam,8.2,n/a
106,n/a,n/a,n/a,John Calvin,Chilliwack,8.2,n/a
106,n/a,n/a,n/a,The King's,Langley,8.2,n/a
122,87,—,no_change,Holy Cross,Penticton,8.1,8.2
122,99,—,no_change,Dr R E McKechnie,Vancouver,8.1,8.1
122,103,—,no_change,Dr Annie B Jamieson,Vancouver,8.1,8.0
122,127,—,no_change,St Patrick's,Maple Ridge,8.1,7.6
122,205,,n/a,Tomekichi Homma,Richmond,8.1,7.0
122,n/a,n/a,n/a,Skyridge Montessori,Squamish,8.1,n/a
128,92,—,no_change,Maple Ridge Christian,Maple Ridge,8.0,8.1
128,96,—,no_change,Maple Lane,Richmond,8.0,8.1
128,108,—,no_change,St Patrick's,Vancouver,8.0,7.9
128,113,—,no_change,Hollyburn,West Vancouver,8.0,7.9
128,116,—,no_change,G W Carlson,Fort Nelson,8.0,7.8
128,136,p,up,Ecole Seaforth,Burnaby,8.0,7.5
128,n/a,n/a,n/a,James Thompson,Richmond,8.0,n/a
128,n/a,n/a,n/a,St Joseph,Nelson,8.0,n/a
136,50,—,no_change,Irwin Park,West Vancouver,7.9,9.0
136,107,—,no_change,John G Diefenbaker,Richmond,7.9,7.9
136,108,—,no_change,Queen Margaret's,Duncan,7.9,7.9
136,134,—,no_change,Laronde,Surrey,7.9,7.6
136,138,—,no_change,Ecole Jules Quesnel,Vancouver,7.9,7.5
136,145,p,up,Surrey Christian,Surrey,7.9,7.4
136,147,—,no_change,Lord Tennyson,Vancouver,7.9,7.4
136,157,,n/a,Maple Grove,Vancouver,7.9,7.3
136,246,p,up,Beaverly,Prince George,7.9,6.7
136,n/a,n/a,n/a,Assumption,Powell River,7.9,n/a
136,n/a,n/a,n/a,General Brock,Vancouver,7.9,n/a
147,113,—,no_change,Dasmesh Punjabi,Abbotsford,7.8,7.9
147,121,—,no_change,Veritas Catholic,Terrace,7.8,7.8
147,127,—,no_change,Canyon Heights,North Vancouver,7.8,7.6
147,141,—,no_change,Cedars Christian,Prince George,7.8,7.5
147,162,p,up,St Joseph's Catholic,Victoria,7.8,7.3
147,175,—,no_change,Nakusp,Nakusp,7.8,7.2
147,239,—,no_change,Samuel Brighouse,Richmond,7.8,6.8
147,n/a,n/a,n/a,Boundary Park,Surrey,7.8,n/a
147,n/a,n/a,n/a,J S Clark,Fort Nelson,7.8,n/a
156,61,,n/a,St Andrew's,Vancouver,7.7,8.8
156,100,—,no_change,Mennonite Educational Institute,Abbotsford,7.7,8.1
156,108,—,no_change,Garden City,Richmond,7.7,7.9
156,118,—,no_change,Bayridge,Surrey,7.7,7.8
156,124,—,no_change,Upper Lynn,North Vancouver,7.7,7.7
156,133,—,no_change,Norma Rose Point Junior,Vancouver,7.7,7.6
156,138,,n/a,Capilano,North Vancouver,7.7,7.5
156,152,—,no_change,Taylor Park,Burnaby,7.7,7.4
156,166,—,no_change,Riverview Park,Coquitlam,7.7,7.3
156,174,—,no_change,Cascade Christian,Chilliwack,7.7,7.2
156,227,—,no_change,Manoah Steves,Richmond,7.7,6.9
156,239,p,up,Kathleen McNeely,Richmond,7.7,6.8
156,n/a,n/a,n/a,Redfish,Nelson,7.7,n/a
156,n/a,n/a,n/a,Westside Academy,Prince George,7.7,n/a
170,137,—,no_change,Duncan Christian,Duncan,7.6,7.5
170,150,—,no_change,Queen Mary,Vancouver,7.6,7.4
170,155,—,no_change,University Highlands,Burnaby,7.6,7.3
170,162,—,no_change,Langley Christian,Langley,7.6,7.3
170,196,—,no_change,Gilpin,Burnaby,7.6,7.1
170,204,p,up,Aspenwood,Port Moody,7.6,7.0
170,213,—,no_change,King's Christian,Salmon Arm,7.6,7.0
170,221,—,no_change,Simon Fraser,Vancouver,7.6,6.9
170,227,—,no_change,Yarrow,Chilliwack,7.6,6.9
170,304,—,no_change,Notre Dame,Dawson Creek,7.6,6.4
170,n/a,n/a,n/a,English Bluff,Delta,7.6,n/a
181,120,—,no_change,James McKinney,Richmond,7.5,7.8
181,121,—,no_change,W D Ferris,Richmond,7.5,7.8
181,127,—,no_change,Immaculate Conception,Prince George,7.5,7.6
181,145,—,no_change,St Anthony's,Kitimat,7.5,7.4
181,149,—,no_change,Fraser Wood,Surrey,7.5,7.4
181,157,—,no_change,Blueridge,North Vancouver,7.5,7.3
181,157,—,no_change,R C Macdonald,Coquitlam,7.5,7.3
181,177,—,no_change,Chantrell Creek,Surrey,7.5,7.2
181,196,p,up,McGowan Park,Kamloops,7.5,7.1
181,207,—,no_change,Clinton,Burnaby,7.5,7.0
181,207,—,no_change,L'Ecole Bilingue,Vancouver,7.5,7.0
181,222,p,up,Henry Anderson,Richmond,7.5,6.9
181,231,p,up,James Gilmore,Richmond,7.5,6.9
181,248,p,up,Begbie View,Revelstoke,7.5,6.7
195,173,—,no_change,Tomsett,Richmond,7.4,7.2
195,179,—,no_change,Boundary,North Vancouver,7.4,7.1
195,201,—,no_change,Pinetree Way,Coquitlam,7.4,7.0
195,222,—,no_change,Aubrey,Burnaby,7.4,6.9
195,231,—,no_change,Lochside,Victoria,7.4,6.9
195,237,—,no_change,Brooksbank,North Vancouver,7.4,6.8
195,271,—,no_change,Blewett,Nelson,7.4,6.6
195,273,—,no_change,Randerson Ridge,Nanaimo,7.4,6.6
195,n/a,n/a,n/a,Sir Richard McBride,Vancouver,7.4,n/a
204,104,—,no_change,Regent Christian Academy,Surrey,7.3,7.9
204,115,—,no_change,Sacred Heart,Delta,7.3,7.9
204,126,—,no_change,Abbotsford Christian,Abbotsford,7.3,7.7
204,141,—,no_change,Walnut Road,Surrey,7.3,7.5
204,166,—,no_change,Bowen Island,Bowen Island,7.3,7.3
204,191,—,no_change,Prince Charles,Abbotsford,7.3,7.1
204,196,—,no_change,Dorothy Lynas,North Vancouver,7.3,7.1
204,207,—,no_change,Queen Elizabeth,Vancouver,7.3,7.0
204,217,—,no_change,Walton,Coquitlam,7.3,6.9
204,235,—,no_change,Gordon Greenwood,Langley,7.3,6.9
204,266,—,no_change,Westwind,Richmond,7.3,6.6
204,278,—,no_change,Pauline Haarer,Nanaimo,7.3,6.6
204,357,—,no_change,Oceanside,Parksville,7.3,6.1
217,141,—,no_change,Erma Stephenson,Surrey,7.2,7.5
217,150,—,no_change,Braemar,North Vancouver,7.2,7.4
217,152,—,no_change,Trafalgar,Vancouver,7.2,7.4
217,156,—,no_change,Suncrest,Burnaby,7.2,7.3
217,166,—,no_change,Morgan,Surrey,7.2,7.3
217,170,—,no_change,Kidston,Coldstream,7.2,7.2
217,222,—,no_change,McMillan,Abbotsford,7.2,6.9
217,238,—,no_change,J.W. Sexsmith,Vancouver,7.2,6.8
217,245,—,no_change,Ecole Cobble Hill,Cobble Hill,7.2,6.8
217,255,—,no_change,King Traditional,Abbotsford,7.2,6.7
217,259,—,no_change,Hammond Bay,Nanaimo,7.2,6.7
217,316,—,no_change,Rossland Summit,Rossland,7.2,6.4
217,401,—,no_change,H T Thrift,Surrey,7.2,5.9
217,447,—,no_change,Merritt Bench,Merritt,7.2,5.6
217,n/a,n/a,n/a,Rayleigh,Kamloops,7.2,n/a
217,n/a,n/a,n/a,Winlaw,Winlaw,7.2,n/a
233,90,—,no_change,Pacific Christian,Victoria,7.1,8.2
233,112,—,no_change,Ebenezer Canadian Reformed,Smithers,7.1,7.9
233,127,—,no_change,St Joseph's,Vancouver,7.1,7.6
233,131,—,no_change,Unity Christian,Chilliwack,7.1,7.6
233,162,—,no_change,Eastview,North Vancouver,7.1,7.3
233,179,—,no_change,BC Muslim,Richmond,7.1,7.1
233,191,—,no_change,Quilchena,Vancouver,7.1,7.1
233,211,—,no_change,Alfred B Dixon,Richmond,7.1,7.0
233,239,—,no_change,Cordova Bay,Victoria,7.1,6.8
233,282,—,no_change,Hampton Park,Coquitlam,7.1,6.6
233,295,—,no_change,South Sa-hali,Kamloops,7.1,6.5
233,317,—,no_change,South Nelson,Nelson,7.1,6.4
233,326,p,up,Crescent Park,Dawson Creek,7.1,6.3
233,n/a,n/a,n/a,Quilchena,Richmond,7.1,n/a
233,n/a,n/a,n/a,Valley Christian,Mission,7.1,n/a
248,157,q,down,St James,Vernon,7.0,7.3
248,186,—,no_change,R. C. Talmey,Richmond,7.0,7.1
248,311,p,up,Gobind Sarvar,Surrey,7.0,6.4
248,355,—,no_change,Dufferin,Kamloops,7.0,6.1
248,438,—,no_change,West Langley,Langley,7.0,5.7
248,n/a,n/a,n/a,Anmore,Anmore,7.0,n/a
248,n/a,n/a,n/a,Brookes Westshore,Victoria,7.0,n/a
248,n/a,n/a,n/a,Fernwood,Salt Spring Island,7.0,n/a
248,n/a,n/a,n/a,Houston Christian,Houston,7.0,n/a
248,n/a,n/a,n/a,Phil & Jennie Gaglardi Academy,Comox,7.0,n/a
248,n/a,n/a,n/a,Renfrew,Vancouver,7.0,n/a
248,n/a,n/a,n/a,South Slope,Burnaby,7.0,n/a
248,n/a,n/a,n/a,William Watson,Surrey,7.0,n/a
261,169,—,no_change,Ecole Marlborough,Burnaby,6.9,7.2
261,175,—,no_change,Cornerstone Christian,Abbotsford,6.9,7.2
261,186,—,no_change,Topham,Langley,6.9,7.1
261,191,—,no_change,Dogwood,Surrey,6.9,7.1
261,201,—,no_change,Heritage Mountain,Port Moody,6.9,7.0
261,207,—,no_change,Montroyal,North Vancouver,6.9,7.0
261,217,—,no_change,Ecole Lloyd George,Kamloops,6.9,6.9
261,222,—,no_change,Salt Spring,Salt Spring Island,6.9,6.9
261,222,—,no_change,South Poplar Traditional,Abbotsford,6.9,6.9
261,231,—,no_change,Connaught Heights,New Westminster,6.9,6.9
261,239,—,no_change,Andre-Piolat,North Vancouver,6.9,6.8
261,259,—,no_change,Howard De Beck,Richmond,6.9,6.7
261,263,—,no_change,West Sechelt,Sechelt,6.9,6.6
261,273,—,no_change,Frost Road,Surrey,6.9,6.6
261,281,—,no_change,Qualicum Beach,Qualicum Beach,6.9,6.6
261,282,—,no_change,Edgewood,Prince George,6.9,6.6
261,285,—,no_change,Elsie Roy,Vancouver,6.9,6.5
261,290,,n/a,Hamilton,Richmond,6.9,6.5
261,401,p,up,Anne-Hebert,Vancouver,6.9,5.9
261,n/a,n/a,n/a,Bowser,Bowser,6.9,n/a
261,n/a,n/a,n/a,Donald E McKay,Richmond,6.9,n/a
261,n/a,n/a,n/a,Forest Grove,Forest Grove,6.9,n/a
261,n/a,n/a,n/a,Gilmore,Burnaby,6.9,n/a
261,n/a,n/a,n/a,Maddaugh,Surrey,6.9,n/a
261,n/a,n/a,n/a,Pleasantside,Port Moody,6.9,n/a
261,n/a,n/a,n/a,University Hill,Vancouver,6.9,n/a
287,121,q,down,Campbell River Christian,Campbell River,6.8,7.8
287,148,—,no_change,Edith Cavell,Vancouver,6.8,7.4
287,170,—,no_change,Auguston Traditional,Abbotsford,6.8,7.2
287,170,—,no_change,Campus View,Victoria,6.8,7.2
287,177,—,no_change,Sperling,Burnaby,6.8,7.2
287,181,—,no_change,James Whiteside,Richmond,6.8,7.1
287,186,—,no_change,Brentwood Park,Burnaby,6.8,7.1
287,186,—,no_change,Sandy Hill,Abbotsford,6.8,7.1
287,201,—,no_change,Langley Fine Arts,Fort Langley,6.8,7.0
287,227,—,no_change,Muheim Memorial,Smithers,6.8,6.9
287,236,—,no_change,St Matthew's,Surrey,6.8,6.8
287,239,—,no_change,Willoughby,Langley,6.8,6.8
287,248,—,no_change,Chaffey-Burke,Burnaby,6.8,6.7
287,255,—,no_change,Langley Fundamental,Langley,6.8,6.7
287,259,—,no_change,Cascade Heights,Burnaby,6.8,6.7
287,266,—,no_change,Coldstream,Coldstream,6.8,6.6
287,350,—,no_change,Hillside Traditional Academy,Mission,6.8,6.2
287,n/a,n/a,n/a,Charles Dickens,Vancouver,6.8,n/a
287,n/a,n/a,n/a,Smiling Creek,Coquitlam,6.8,n/a
306,141,—,no_change,Buckingham,Burnaby,6.7,7.5
306,152,—,no_change,Shaughnessy,Vancouver,6.7,7.4
306,194,—,no_change,Lynn Valley,North Vancouver,6.7,7.1
306,273,—,no_change,Kamloops of the Arts,Kamloops,6.7,6.6
306,311,—,no_change,Ecole Panorama Heights,Coquitlam,6.7,6.4
306,313,—,no_change,B X,Vernon,6.7,6.4
306,313,p,up,Ecole Robb Road,Comox,6.7,6.4
306,354,—,no_change,Doncaster,Victoria,6.7,6.2
306,413,—,no_change,Margaret Stenersen,Abbotsford,6.7,5.8
306,498,,n/a,Deep Cove,North Saanich,6.7,5.4
306,518,—,no_change,Peterson Road,Langley,6.7,5.3
306,547,—,no_change,Nicola Canford,Lower Nicola,6.7,5.2
306,596,—,no_change,White Rock,White Rock,6.7,4.9
306,n/a,n/a,n/a,Au-coeur-de-l'ile,Comox,6.7,n/a
306,n/a,n/a,n/a,Edgewood,Surrey,6.7,n/a
306,n/a,n/a,n/a,F W Howay,New Westminster,6.7,n/a
306,n/a,n/a,n/a,Lakeview,Burnaby,6.7,n/a
306,n/a,n/a,n/a,Nicholson,Golden,6.7,n/a
306,n/a,n/a,n/a,Nukko Lake,Prince George,6.7,n/a
306,n/a,n/a,n/a,R M Grauer,Richmond,6.7,n/a
306,n/a,n/a,n/a,Robson,Robson,6.7,n/a
