rank_2023_2024,rank_5yr,trend_symbol,trend,school_name,city,overall_rating_2023_2024,overall_rating_5yr 
666,379,—,no_change,Frank J. Ney,Nanaimo,5.2,6.0
666,422,—,no_change,Charlie Lake,Charlie Lake,5.2,5.8
666,429,—,no_change,Don Titus Montessori,Chetwynd,5.2,5.7
666,460,—,no_change,Goldstone Park,Surrey,5.2,5.6
666,460,—,no_change,Hart Highlands,Prince George,5.2,5.6
666,491,—,no_change,Hudson Road,West Kelowna,5.2,5.5
666,504,—,no_change,Harwood,Vernon,5.2,5.4
666,552,—,no_change,James Bay,Victoria,5.2,5.2
666,554,—,no_change,Ocean Grove,Campbell River,5.2,5.2
666,578,—,no_change,Tsuma-as,Port Alberni,5.2,5.1
666,606,—,no_change,Chemainus,Chemainus,5.2,4.8
666,610,—,no_change,Ecole Frank Ross,Dawson Creek,5.2,4.8
666,623,,n/a,Ecole Macaulay,Victoria,5.2,4.7
666,649,p,up,Cataline,Williams Lake,5.2,4.6
666,676,—,no_change,Ucluelet,Ucluelet,5.2,4.3
666,711,—,no_change,Erickson,Erickson,5.2,3.8
666,n/a,n/a,n/a,A H P Matthew,Surrey,5.2,n/a
666,n/a,n/a,n/a,David Cameron,Victoria,5.2,n/a
666,n/a,n/a,n/a,Quadra,Quathiaski Cove,5.2,n/a
666,n/a,n/a,n/a,Rogers,Victoria,5.2,n/a
666,n/a,n/a,n/a,South Canoe,Salmon Arm,5.2,n/a
666,n/a,n/a,n/a,South Park Family,Victoria,5.2,n/a
666,n/a,n/a,n/a,Southlands,Vancouver,5.2,n/a
666,n/a,n/a,n/a,Wix-Brown,Langley,5.2,n/a
690,357,—,no_change,Hillcrest,Victoria,5.1,6.1
690,396,—,no_change,Silver Star,Vernon,5.1,5.9
690,491,—,no_change,Cheam,Chilliwack,5.1,5.5
690,504,—,no_change,Helen Gorman,West Kelowna,5.1,5.4
690,536,—,no_change,Penfield,Campbell River,5.1,5.2
690,536,—,no_change,Strawberry Vale,Victoria,5.1,5.2
690,547,—,no_change,Little Mountain,Chilliwack,5.1,5.2
690,588,—,no_change,Carlin Middle,Tappen,5.1,5.0
690,590,—,no_change,Victoria West,Victoria,5.1,5.0
690,604,—,no_change,Signal Hill,Pemberton,5.1,4.8
690,606,—,no_change,Glenmerry,Trail,5.1,4.8
690,615,—,no_change,Ecole Kilmer,Port Coquitlam,5.1,4.8
690,636,—,no_change,Ripple Rock,Campbell River,5.1,4.7
690,652,—,no_change,Fort Langley,Fort Langley,5.1,4.5
690,654,—,no_change,Ecole Squamish,Squamish,5.1,4.5
690,654,—,no_change,Mamquam,Squamish,5.1,4.5
690,672,—,no_change,Pitt Meadows,Pitt Meadows,5.1,4.3
690,n/a,n/a,n/a,Amy Woodland,Cranbrook,5.1,n/a
690,n/a,n/a,n/a,Colwood,Victoria,5.1,n/a
690,n/a,n/a,n/a,Creekside,Surrey,5.1,n/a
690,n/a,n/a,n/a,Eagle View,Victoria,5.1,n/a
690,n/a,n/a,n/a,Edgewater,Edgewater,5.1,n/a
690,n/a,n/a,n/a,Kay Bingham,Kamloops,5.1,n/a
713,321,—,no_change,Pouce Coupe,Pouce Coupe,5.0,6.3
713,365,—,no_change,Blundell,Richmond,5.0,6.1
713,394,—,no_change,Ecole Irvine,Port Coquitlam,5.0,5.9
713,438,—,no_change,Brackendale,Squamish,5.0,5.7
713,444,—,no_change,Alberni,Port Alberni,5.0,5.7
713,460,—,no_change,Armstrong,Armstrong,5.0,5.6
713,478,—,no_change,Gray,Delta,5.0,5.5
713,478,—,no_change,Royston,Royston,5.0,5.5
713,495,,n/a,Bastion,Salmon Arm,5.0,5.4
713,524,—,no_change,Ladner,Delta,5.0,5.3
713,551,—,no_change,Isabella Dicken,Fernie,5.0,5.2
713,555,—,no_change,Centennial Park,Abbotsford,5.0,5.2
713,561,—,no_change,Georgia Park,Campbell River,5.0,5.1
713,595,—,no_change,Northridge,Victoria,5.0,4.9
713,609,—,no_change,Rose Valley,West Kelowna,5.0,4.8
713,639,—,no_change,Decker Lake,Burns Lake,5.0,4.6
713,660,—,no_change,Golden Ears,Maple Ridge,5.0,4.5
713,685,—,no_change,Courtenay,Courtenay,5.0,4.2
713,731,—,no_change,Edgehill,Powell River,5.0,3.5
713,n/a,n/a,n/a,Alderson,Coquitlam,5.0,n/a
713,n/a,n/a,n/a,Canyon/Lister,Canyon,5.0,n/a
713,n/a,n/a,n/a,David Brankin,Surrey,5.0,n/a
713,n/a,n/a,n/a,Davie Jones,Pitt Meadows,5.0,n/a
713,n/a,n/a,n/a,Dr H N MacCorkindale,Vancouver,5.0,n/a
737,370,—,no_change,Sacred Heart,Prince George,4.9,6.1
737,422,—,no_change,Ecole Nestor,Coquitlam,4.9,5.8
737,425,—,no_change,South Park,Delta,4.9,5.8
737,458,—,no_change,Malaspina,Prince George,4.9,5.6
737,465,—,no_change,Departure Bay,Nanaimo,4.9,5.6
737,483,—,no_change,Queen of Angels,Duncan,4.9,5.5
737,487,—,no_change,Pinecrest,Campbell River,4.9,5.5
737,499,—,no_change,Chalmers,Delta,4.9,5.4
737,499,—,no_change,Peden Hill,Prince George,4.9,5.4
737,542,—,no_change,Aspen Park,Comox,4.9,5.2
737,561,—,no_change,Hazelgrove,Surrey,4.9,5.1
737,573,—,no_change,Peter Greer,Winfield,4.9,5.1
737,590,—,no_change,Drinkwater,North Cowichan,4.9,5.0
737,611,—,no_change,Armstrong,Burnaby,4.9,4.8
737,653,—,no_change,Glenrosa,West Kelowna,4.9,4.5
737,691,—,no_change,Wishart,Victoria,4.9,4.1
737,698,—,no_change,Cinnabar Valley,Nanaimo,4.9,3.9
737,n/a,n/a,n/a,Captain James Cook,Vancouver,4.9,n/a
737,n/a,n/a,n/a,Eric J Dunn,Port Alberni,4.9,n/a
737,n/a,n/a,n/a,Henderson,Powell River,4.9,n/a
737,n/a,n/a,n/a,Hyland,Surrey,4.9,n/a
737,n/a,n/a,n/a,Kelly Creek,Powell River,4.9,n/a
737,n/a,n/a,n/a,North Canoe,Canoe,4.9,n/a
760,441,—,no_change,Davidson Road,Lake Country,4.8,5.7
760,472,q,down,Glen,Coquitlam,4.8,5.6
760,536,—,no_change,Miller Park,Coquitlam,4.8,5.2
760,577,q,down,Glenwood,Langley,4.8,5.1
760,596,—,no_change,Victor-Brodeur,Victoria,4.8,4.9
760,618,—,no_change,Second Street,Burnaby,4.8,4.7
760,629,—,no_change,Alex Aitken,North Cowichan,4.8,4.7
760,639,—,no_change,Harwin,Prince George,4.8,4.6
760,645,—,no_change,Tillicum,Victoria,4.8,4.6
760,665,—,no_change,McCammon,Chilliwack,4.8,4.4
760,690,p,up,Forest Park,Nanaimo,4.8,4.1
760,695,—,no_change,North Oyster,Ladysmith,4.8,4.0
760,718,—,no_change,Haldane,Chase,4.8,3.7
760,n/a,n/a,n/a,Bridgeview,Surrey,4.8,n/a
760,n/a,n/a,n/a,Dr F D Sinclair,Surrey,4.8,n/a
760,n/a,n/a,n/a,Dragon Lake,Quesnel,4.8,n/a
760,n/a,n/a,n/a,Gabriola,Gabriola Island,4.8,n/a
760,n/a,n/a,n/a,Martha Jane Norris,Surrey,4.8,n/a
760,n/a,n/a,n/a,Mount Pleasant,Vancouver,4.8,n/a
760,n/a,n/a,n/a,Mountain View,Nanaimo,4.8,n/a
760,n/a,n/a,n/a,Pebble Hill Traditional,Delta,4.8,n/a
760,n/a,n/a,n/a,Surrey Centre,Surrey,4.8,n/a
760,n/a,n/a,n/a,T E Scott,Surrey,4.8,n/a
760,n/a,n/a,n/a,Wildflower,Nelson,4.8,n/a
784,487,—,no_change,Cameron,Burnaby,4.7,5.5
784,489,—,no_change,Cumberland,Cumberland,4.7,5.5
784,491,—,no_change,Glenview,Prince George,4.7,5.5
784,532,—,no_change,Cayoosh,Lillooet,4.7,5.3
784,569,—,no_change,Rosemont,Nelson,4.7,5.1
784,584,—,no_change,Strathcona,Chilliwack,4.7,5.0
784,613,—,no_change,Tumbler Ridge,Tumbler Ridge,4.7,4.8
784,618,—,no_change,Cougar Creek,Surrey,4.7,4.7
784,637,—,no_change,Chimney Hill,Surrey,4.7,4.6
784,654,—,no_change,Uplands,Terrace,4.7,4.5
784,669,—,no_change,Woodward Hill,Surrey,4.7,4.4
784,678,—,no_change,Twin Rivers,Castlegar,4.7,4.3
784,680,—,no_change,George Greenaway,Surrey,4.7,4.3
784,685,—,no_change,Springvalley,Kelowna,4.7,4.2
784,n/a,n/a,n/a,Cilaire,Nanaimo,4.7,n/a
784,n/a,n/a,n/a,Crosstown,Vancouver,4.7,n/a
784,n/a,n/a,n/a,Ecole Mountainview,Terrace,4.7,n/a
784,n/a,n/a,n/a,Stoney Creek,Burnaby,4.7,n/a
802,521,—,no_change,Lake Hill,Victoria,4.6,5.3
802,547,q,down,Edwin S Richards,Mission,4.6,5.2
802,553,—,no_change,Arthur Stevenson,Kamloops,4.6,5.2
802,585,—,no_change,View Royal,Victoria,4.6,5.0
802,586,—,no_change,Duncan Cran,Fort St John,4.6,5.0
802,602,—,no_change,Cape Horn,Coquitlam,4.6,4.9
802,651,—,no_change,Westerman,Surrey,4.6,4.6
802,673,—,no_change,Ecole Quadra,Victoria,4.6,4.3
802,673,—,no_change,Evelyn Dickson,Vanderhoof,4.6,4.3
802,702,p,up,Rock City,Nanaimo,4.6,3.9
802,713,—,no_change,Strawberry Hill,Surrey,4.6,3.7
802,721,—,no_change,Fraser Lake,Fraser Lake,4.6,3.6
802,n/a,n/a,n/a,A E Perry,Kamloops,4.6,n/a
802,n/a,n/a,n/a,Ecole Westwood,Port Coquitlam,4.6,n/a
802,n/a,n/a,n/a,Holly,Delta,4.6,n/a
802,n/a,n/a,n/a,Kanaka Creek,Maple Ridge,4.6,n/a
802,n/a,n/a,n/a,Panorama Park,Surrey,4.6,n/a
819,399,q,down,Lord Selkirk,Vancouver,4.5,5.9
819,452,—,no_change,Heritage,Prince George,4.5,5.6
819,473,—,no_change,Pacific Heights,Surrey,4.5,5.5
819,495,—,no_change,Raft River,Clearwater,4.5,5.4
819,559,—,no_change,Sir Sandford Fleming,Vancouver,4.5,5.1
819,626,—,no_change,Springwood,Prince George,4.5,4.7
819,658,—,no_change,Birchland,Port Coquitlam,4.5,4.5
819,706,—,no_change,Terry Fox,Abbotsford,4.5,3.9
819,742,—,no_change,Lena Shaw,Surrey,4.5,2.9
819,n/a,n/a,n/a,Devereaux,Dawson Creek,4.5,n/a
819,n/a,n/a,n/a,Royal Heights,Surrey,4.5,n/a
819,n/a,n/a,n/a,Uplands Park,Nanaimo,4.5,n/a
831,350,—,no_change,David Oppenheimer,Vancouver,4.4,6.2
831,473,—,no_change,Dave Kandal,Abbotsford,4.4,5.5
831,594,—,no_change,Sandowne,Campbell River,4.4,5.0
831,599,—,no_change,Dr D A Perley,Grand Forks,4.4,4.9
831,613,—,no_change,Blackburn,Prince George,4.4,4.8
831,625,—,no_change,A S Matheson,Kelowna,4.4,4.7
831,641,—,no_change,Vanway,Prince George,4.4,4.6
831,666,—,no_change,Kelset,North Saanich,4.4,4.4
831,675,—,no_change,Highlands,Cranbrook,4.4,4.3
831,722,—,no_change,Beaver Creek,Surrey,4.4,3.6
831,724,—,no_change,Lake Cowichan,Lake Cowichan,4.4,3.6
831,726,p,up,Crofton,Crofton,4.4,3.6
831,728,—,no_change,Van Bien,Prince George,4.4,3.6
831,737,p,up,Merritt Central,Merritt,4.4,3.2
831,n/a,n/a,n/a,Nechako,Kitimat,4.4,n/a
831,n/a,n/a,n/a,Old Yale Road,Surrey,4.4,n/a
831,n/a,n/a,n/a,Regent Road,Surrey,4.4,n/a
831,n/a,n/a,n/a,Steeples,Cranbrook,4.4,n/a
831,n/a,n/a,n/a,Telkwa,Telkwa,4.4,n/a
850,561,—,no_change,Brent Kennedy,Crescent Valley,4.3,5.1
850,569,—,no_change,Meadowbrook,Coquitlam,4.3,5.1
850,573,—,no_change,Vermilion Forks,Princeton,4.3,5.1
850,606,—,no_change,Oyama Traditional,Oyama,4.3,4.8
850,643,—,no_change,Buckhorn,Prince George,4.3,4.6
850,645,—,no_change,J W Inglis,Lumby,4.3,4.6
850,662,—,no_change,Salmon Arm West,Salmon Arm,4.3,4.5
850,663,—,no_change,Robert Ogilvie,Fort St John,4.3,4.5
850,676,—,no_change,Adams Road,Surrey,4.3,4.3
850,693,p,up,Ecole Riverdale,Surrey,4.3,4.0
850,699,—,no_change,Laity View,Maple Ridge,4.3,3.9
850,704,—,no_change,K B Woodward,Surrey,4.3,3.9
850,705,—,no_change,Gordon Terrace,Cranbrook,4.3,3.9
850,733,—,no_change,Mission Central,Mission,4.3,3.3
850,n/a,n/a,n/a,Arthur Hatton,Kamloops,4.3,n/a
850,n/a,n/a,n/a,Eric Langton,Maple Ridge,4.3,n/a
850,n/a,n/a,n/a,Grindrod,Grindrod,4.3,n/a
850,n/a,n/a,n/a,Mary Jane Shannon,Surrey,4.3,n/a
850,n/a,n/a,n/a,Savory,Victoria,4.3,n/a
850,n/a,n/a,n/a,Senator Reid,Surrey,4.3,n/a
850,n/a,n/a,n/a,Thunderbird,Vancouver,4.3,n/a
871,515,q,down,Alwin Holland,Fort St John,4.2,5.3
871,588,q,down,Raymer,Kelowna,4.2,5.0
871,682,—,no_change,Ten Broeck,Abbotsford,4.2,4.2
871,688,—,no_change,George Jay,Victoria,4.2,4.1
871,689,—,no_change,Syuwen'ct,Nanaimo,4.2,4.1
871,716,—,no_change,Douglas Park,Langley,4.2,3.7
871,n/a,n/a,n/a,Don Christian,Surrey,4.2,n/a
871,n/a,n/a,n/a,George Bonner,Mill Bay,4.2,n/a
871,n/a,n/a,n/a,McCloskey,Delta,4.2,n/a
871,n/a,n/a,n/a,Sir Alexander Mackenzie,Vancouver,4.2,n/a
871,n/a,n/a,n/a,c'usqunela,Maple Ridge,4.2,n/a
882,343,—,no_change,Berkshire Park,Surrey,4.1,6.2
882,599,q,down,Lax Kxeen,Prince Rupert,4.1,4.9
882,618,—,no_change,Cawston Primary,Cawston,4.1,4.7
882,629,—,no_change,Highland Park,Armstrong,4.1,4.7
882,664,—,no_change,Godson,Abbotsford,4.1,4.4
882,667,q,down,Carmi,Penticton,4.1,4.4
882,671,—,no_change,McKenzie,Victoria,4.1,4.4
882,695,—,no_change,Chief Tomat,West Kelowna,4.1,4.0
882,710,—,no_change,Alexis Park,Vernon,4.1,3.8
882,715,—,no_change,Spruceland Traditional,Prince George,4.1,3.7
882,726,—,no_change,Thornhill,Terrace,4.1,3.6
882,n/a,n/a,n/a,Betty Huff,Surrey,4.1,n/a
882,n/a,n/a,n/a,Cindrich,Surrey,4.1,n/a
882,n/a,n/a,n/a,J T Brown,Surrey,4.1,n/a
882,n/a,n/a,n/a,Ranchero Junior,Salmon Arm,4.1,n/a
882,n/a,n/a,n/a,Sk'elep of Excellence,Kamloops,4.1,n/a
882,n/a,n/a,n/a,Webster's Corners,Maple Ridge,4.1,n/a
899,590,q,down,Pinewood,Prince George,4.0,5.0
899,627,q,down,Barriere,Barriere,4.0,4.7
899,658,—,no_change,Kootenay Orchards,Cranbrook,4.0,4.5
899,708,—,no_change,Nicomekl,Langley,4.0,3.8
899,n/a,n/a,n/a,Cache Creek,Cache Creek,4.0,n/a
899,n/a,n/a,n/a,David Hoy,Fort St. James,4.0,n/a
899,n/a,n/a,n/a,M B Sanford,Surrey,4.0,n/a
906,622,q,down,Central,Port Coquitlam,3.9,4.7
906,669,—,no_change,Green Timbers,Surrey,3.9,4.4
906,681,—,no_change,James Thomson,Powell River,3.9,4.2
906,707,—,no_change,Prespatou,Prespatou,3.9,3.9
906,734,—,no_change,Bear Creek,Surrey,3.9,3.3
906,n/a,n/a,n/a,Cedar Hills,Surrey,3.9,n/a
906,n/a,n/a,n/a,Graham Bruce,Vancouver,3.9,n/a
906,n/a,n/a,n/a,Maywood,Burnaby,3.9,n/a
914,615,—,no_change,Rutland,Kelowna,3.8,4.8
914,633,—,no_change,Martha Currie,Surrey,3.8,4.7
914,657,,n/a,Westwood,Prince George,3.8,4.5
914,668,q,down,Albion,Maple Ridge,3.8,4.4
914,692,—,no_change,Christine Morrison,Mission,3.8,4.0
914,708,—,no_change,Discovery,Shawnigan Lake,3.8,3.8
914,732,—,no_change,Chilliwack Central,Chilliwack,3.8,3.3
914,743,—,no_change,Hammond,Maple Ridge,3.8,2.7
914,n/a,n/a,n/a,Ruth King,Victoria,3.8,n/a
914,n/a,n/a,n/a,Tansor,North Cowichan,3.8,n/a
914,n/a,n/a,n/a,William Konkin,Burns Lake,3.8,n/a
914,n/a,n/a,n/a,Windebank,Mission,3.8,n/a
926,603,—,no_change,Wood,Port Alberni,3.7,4.8
926,648,—,no_change,Alexander,Abbotsford,3.7,4.6
926,679,—,no_change,Bernard,Chilliwack,3.7,4.3
926,683,q,down,Cloverdale Traditional,Surrey,3.7,4.2
926,699,—,no_change,Pearson Road,Kelowna,3.7,3.9
926,738,p,up,Quinson,Prince George,3.7,3.2
926,n/a,n/a,n/a,Prince Charles,Surrey,3.7,n/a
933,739,—,no_change,Cedar,Campbell River,3.6,3.1
933,n/a,n/a,n/a,Cassie Hall,Terrace,3.6,n/a
933,n/a,n/a,n/a,Cherry Hill,Mission,3.6,n/a
933,n/a,n/a,n/a,Edith McDermott,Pitt Meadows,3.6,n/a
933,n/a,n/a,n/a,Forsyth Road,Surrey,3.6,n/a
933,n/a,n/a,n/a,Janice Churchill,Surrey,3.6,n/a
933,n/a,n/a,n/a,Millstream,Victoria,3.6,n/a
933,n/a,n/a,n/a,Salmo,Salmo,3.6,n/a
933,n/a,n/a,n/a,South Rutland,Kelowna,3.6,n/a
942,556,—,no_change,Blacklock Fine Arts,Langley,3.5,5.1
942,693,—,no_change,100 Mile House,100 Mile House,3.5,4.0
942,702,—,no_change,Coquihalla,Hope,3.5,3.9
942,712,—,no_change,Morfee,Mackenzie,3.5,3.7
942,713,—,no_change,Adam Robertson,Creston,3.5,3.7
942,719,—,no_change,Wickaninnish,Tofino,3.5,3.7
942,n/a,n/a,n/a,Kent,Agassiz,3.5,n/a
942,n/a,n/a,n/a,Pinewood,Cranbrook,3.5,n/a
942,n/a,n/a,n/a,Willway,Victoria,3.5,n/a
951,730,—,no_change,Desert Sands,Ashcroft,3.4,3.5
951,n/a,n/a,n/a,Yaqan Nukiy,Creston,3.4,n/a
953,697,—,no_change,Rocky Mountain,Elkford,3.3,4.0
953,701,—,no_change,Simonds,Langley,3.3,3.9
953,729,—,no_change,Park Avenue,Nanaimo,3.3,3.5
953,n/a,n/a,n/a,Holly,Surrey,3.3,n/a
953,n/a,n/a,n/a,Latimer Road,Surrey,3.3,n/a
953,n/a,n/a,n/a,Maple Ridge,Maple Ridge,3.3,n/a
959,535,—,no_change,Upper Pine,Fort St John,3.2,5.3
959,n/a,n/a,n/a,Alouette,Maple Ridge,3.2,n/a
959,n/a,n/a,n/a,Ecole Poirier,Sooke,3.2,n/a
959,n/a,n/a,n/a,John Henderson,Vancouver,3.2,n/a
959,n/a,n/a,n/a,New Hazelton,New Hazelton,3.2,n/a
959,n/a,n/a,n/a,Walter Moberly,Vancouver,3.2,n/a
965,684,q,down,Twain Sullivan,Houston,3.1,4.2
965,n/a,n/a,n/a,Harry Hooge,Maple Ridge,3.1,n/a
965,n/a,n/a,n/a,Highland Park,Pitt Meadows,3.1,n/a
965,n/a,n/a,n/a,Mountain View,Coquitlam,3.1,n/a
965,n/a,n/a,n/a,Qwam Qwum Stuwixwulh,Nanaimo,3.1,n/a
970,644,q,down,Parkview,Sicamous,3.0,4.6
970,740,—,no_change,Diamond Vale,Merritt,3.0,3.1
970,744,—,no_change,Suwilaawks,Terrace,3.0,2.7
970,n/a,n/a,n/a,Kirkbride,Surrey,3.0,n/a
974,629,—,no_change,Mountview,Williams Lake,2.9,4.7
974,717,—,no_change,Roosevelt Park,Prince Rupert,2.9,3.7
974,722,—,no_change,Gibson,Delta,2.9,3.6
974,746,—,no_change,Cedar,Nanaimo,2.9,2.5
974,n/a,n/a,n/a,Newton,Surrey,2.9,n/a
974,n/a,n/a,n/a,Simon Cunningham,Surrey,2.9,n/a
974,n/a,n/a,n/a,W E Kinvig,Surrey,2.9,n/a
981,n/a,n/a,n/a,Fairview,Nanaimo,2.8,n/a
982,n/a,n/a,n/a,Brechin,Nanaimo,2.7,n/a
982,n/a,n/a,n/a,Morley,Burnaby,2.7,n/a
982,n/a,n/a,n/a,Nak'albun,Fort St James,2.7,n/a
985,724,—,no_change,Hatzic,Mission,2.6,3.6
985,741,q,down,Albert McMahon,Mission,2.6,3.1
985,n/a,n/a,n/a,Saseenos,Sooke,2.6,n/a
988,n/a,n/a,n/a,Alexander,North Cowichan,2.5,n/a
988,n/a,n/a,n/a,Kennedy Trail,Surrey,2.5,n/a
990,747,—,no_change,Georgia Avenue,Nanaimo,2.4,2.3
991,736,q,down,Hjorth Road,Surrey,2.3,3.2
991,748,—,no_change,Ladysmith Intermediate,Ladysmith,2.3,2.3
991,n/a,n/a,n/a,Sooke,Sooke,2.3,n/a
994,749,—,no_change,Marie Sharpe,Williams Lake,2.1,2.2
994,n/a,n/a,n/a,Bayview,Nanaimo,2.1,n/a
994,n/a,n/a,n/a,Sk'aadgaa Naay,Queen Charlotte,2.1,n/a
997,751,—,no_change,Ron Brent,Prince George,2.0,1.0
997,n/a,n/a,n/a,Haahuupayak,Port Alberni,2.0,n/a
997,n/a,n/a,n/a,West Heights,Mission,2.0,n/a
1000,735,—,no_change,North Ridge,Surrey,1.9,3.3
1000,n/a,n/a,n/a,Bella Bella,Bella Bella,1.9,n/a
1000,n/a,n/a,n/a,Dewdney,Dewdney,1.9,n/a
1000,n/a,n/a,n/a,Lakeview,Quesnel,1.9,n/a
1004,n/a,n/a,n/a,Gabrielle-Roy,Surrey,1.8,n/a
1004,n/a,n/a,n/a,Stein Valley Nlakapamux,Lytton,1.8,n/a
1006,n/a,n/a,n/a,James Ardiel,Surrey,1.7,n/a
1007,n/a,n/a,n/a,Voyageur,Quesnel,1.5,n/a
1008,750,—,no_change,Ecole Red Bluff Lhtako,Quesnel,1.4,1.8
1008,n/a,n/a,n/a,Brooke,Delta,1.4,n/a
1008,n/a,n/a,n/a,Georges Vanier,Surrey,1.4,n/a
1011,n/a,n/a,n/a,Nusdeh Yoh,Prince George,1.3,n/a
1012,n/a,n/a,n/a,Cliff Drive,Delta,1.1,n/a
1013,n/a,n/a,n/a,Khowhemun,Duncan,0.9,n/a
1014,745,q,down,Conrad,Prince Rupert,0.5,2.6
1015,n/a,n/a,n/a,Riverview,Quesnel,0.0,n/a
